Località,Fisso 1,Fisso 2,Cellulare 1,Cellulare 2,Cellulare 3,DCO,Codici Salette
Torino P.N.,70287602,,,,,To P.N.-To Stura 71002001,
Q.vio Zappata,70230402,,,,,To P.N.-To Stura 71002001,
Bivio Crocetta,,,,,,To P.N.-To Stura 71002001,
Torino P.S.,70352502,,,,,To P.N.-To Stura 71002001,
Torino Rebaudengo Fossata,70172602,,,,,To P.N.-To Stura 71002001,
Torino P.S.,70352502,,,,,To P.N.-To Stura 71002001,
Torino Stura,70286402,,,,,To P.N.-To Stura 71002001,
PM Cigliano,70123502,,,,,To Stura-Rho (AV/AC) 71012301|To Stura-To P.N. 71002001,
PM Alice,70123602,,,,,To Stura-Rho (AV/AC) 71012301,
PM Recetto,70123902,,,,,To Stura-Rho (AV/AC) 71012301,
Bivio Novara Ovest,70123802,,,,,To Stura-Rho (AV/AC) 71012301,
PC Marcallo,70267402,,,,,To Stura-Rho (AV/AC) 71012301,
Rho,70234502,,,,,To Stura-Mi C.le (AV/AC) 71012301|Rho-Mi C.le 71012201,
Rho Fiera,,,,,,Rho-Mi C.le 71012201,
Milano Certosa,70170902,,,,,Rho-Mi C.le 71012201,
T.B./PC Seveso,70289902,,,,,Rho-Mi C.le 71012201,
Milano C.le,70172802,,,,,Mi C.le-Rho 71012201|Mi C.le-Mi Lamb. 71010801,
,,,,,,,
Milano Lambrate,70171202,,,,,Mi Lamb.-Rogoredo 71010801|Mi Lamb.-Mi C.le 71010801,
Milano Rogoredo,70172002,,,,,Rogoredo-Tavazzano 71012701|Rogoredo-Biv. P/C Tavazzano 71012701 ,
Bivio/PC Melegnano,70071802,,,,,,
PM Livraga,71061401,,,,,,
Bivio Piacenza Ovest,71061401,,,,,,
1° Bivio Piacenza Est,71061401,,,,,,
PC Piacenza,71061401,,,,,,
1° Bivio Fidenza Ovest,71061401,,,,,,
PC Fontanellato,71061401,,,,,,
1° Bivio Parma Est,71061401,,,,,,
PM Campegine,71061401,,,,,,
Reggio Emilia AV Mediopadana,71061401,,,,,,
PC Rubiera,71061401,,,,,,
Bivio Modena Ovest,71061401,,,,,,
Bivio Castelfranco Est,71061401,,,,,,
PM Anzola,71061401,,,,,,
PM Reno,71061601,,,,,,
Bivio Venezia,71061601,,,,,,
Bologna C.le AV,71061601,9215701,,,,,
Pde Savena,,,,,,,
Pde Montecalvo,,,,,,,
Bivio Emilia,71061601,,,,,,
Pde Riosto,,,,,,,
Pde Quinzano,,,,,,,
PM Idice,71061601,,,,,,
Pde Monte Bibele,,,,,,,
Pde Osteria,,,,,,,
Pde Castelvecchio,,,,,,,
Pde Diaterna,,,,,,,
Pde Brenzone,,,,,,,
Pde Brentana,,,,,,,
PM/Pde S. Pellegrino,71061601,,,,,,
Pde Rovigo,,,,,,,
Pde Osteto,,,,,,,
Pde Marzano,,,,,,,
Pde S. Giorgio,,,,,,,
Pde Fiorenzuola,,,,,,,
Pde Sieve,,,,,,,
PM S. Piero a Sieve,71061601,,,,,,
Pde Carlone,,,,,,,
Pde Cardini,,,,,,,
Pde Vaglia,,,,,,,
Pde Ginori,,,,,,,
Firenze Castello,70131402,,,,,,
Firenze Rifredi,71071102,,,,,,
Firenze SMN,70132502,,,,,,
Firenze Statuto,71071301,,,,,,
Firenze C.d.M.,71071301,,,,,,
Firenze Rovezzano,,,,,,,
PM Rovezzano,71071301,,,,,,
PC San Donato,,,,,,,
1° bivio Valdarno Nord,70035502,,,,,,
1° bivio Valdarno Sud,70035402,,,,,,
1° Bivio Arezzo Nord,70034602,,,,,,
1° Bivio Arezzo Sud,70034702,,,,,,
PC Rigutino,,,,,,,
1° Bivio Chiusi Nord,70034802,,,,,,
1° Bivio Orvieto Nord,70035202,,,,,,
PC Civitella,,,,,,,
1° Bivio Orte Nord,,,,,,,
1° Bivio Orte Sud,,,,,,,
PC Gallese,,,,,,,
PC Capena,,,,,,,
Bivio/PC Settebagni,70271702,,,,,,
Roma Tiburtina,70238502,,,,,,
Roma Termini,70241602,97066233,,,,,
Roma Prenestina,70238102,,,,,,
PM Salone,70350102,97061110,,,,,
PM Labico,70350202,97061123,,,,,
PM Anagni,70350302,97061139,,,,,
Bivio/PC Sgurgola,70350502,,,,,,
Morolo,70185402,,,,,,
PC Ceccano,70350802,97061150,,,,,
PM S. Giovanni,70350902,97061163,,,,,
PM S. Angelo,70351002,97061170,,,,,
1° Bivio Cassino Sud,70351102,97061173,,,,,
PM Tora-Picci,70351302,97061184,,,,,
PC Pignataro,70351402,97061193,,,,,
1° Bivio Caserta Nord,70351502,,,,,,
2° Bivio Caserta Nord,70351602,,,,,,
Capua,70088902,,,,,,
1° Bivio Gricignano,70351702,,,,,,
Napoli Afragola,70351802,,,,,,
PM Casoria,70621102,,,,,,
Napoli C.le,70188802,,,,,,
Gricignano,70146002,,,,,,
Aversa,70048402,,,,,,
S. Antimo,,,,,,,
Frattamaggiore,70137302,,,,,,
Casoria Afragola,70094902,,,,,,
PC Vesuvio,70621002,,,,,,
Bivio Sarno,70265302,,,,,,
PM Torricchio,70218202,,,,,,
Bivio S. Lucia,70053902,,,,,,
Salerno,70261702,,,,,,
D.B. Marittima,70216802,,,,,,
S. Giovanni Barra,70188202,,,,,,
Pietrarsa,,,,,,,
Portici,70224702,,,,,,
Torre del Greco,70288302,,,,,,
S. Maria La Bruna,70254202,,,,,,
Torre Annunziata Città,,,,,,,
Torre Annunziata C.le,70287902,,,,,,
Pompei,70220302,,,,,,
Scafati,70266902,,,,,,
Angri,70043102,,,,,,
Pagani,,,,,,,
Nocera Inferiore,70190502,,,,,,
Nocera Superiore,,,,,,,
Cava dei Tirreni,70103802,,,,,,
Vietri sul Mare,,,,,,,
Duomo-Via Vernieri,,,,,,,
,,,,,,,
Bivio Settimo Torinese,70257702,,,,,,
Settimo,70272002,,,,,,
Brandizzo,70072902,,,,,,
Chivasso,70110502,,,,,,
Castelrosso,,,,,,,
Bivio Castelrosso,,,,,,,
Torrazza,70287802,,,,,,
Saluggia,,,,,,,
S. Antonio di S.,,,,,,,
Livorno Ferraris,70157002,,,,,,
Bianzè,70064002,,,,,,
Tronzano,,,,,,,
Santhia,70264702,,,,,,
S. Germano Vercellese,,,,,,,
Olcenengo,,,,,,,
Vercelli,70301402,,,,,,
PC/Bivio Sesia,70054202,,,,,,
Borgo Vercelli,,,,,,,
Ponzana,70223702,,,,,,
Novara,70191702,,,,,,
Trecate,,,,,,,
Magenta,,,,,,,
Corbetta,,,,,,,
Vittuone,,,,,,,
Pregnana Milanese,,,,,,,
,,,,,,,
Tavazzano,70282002,,,,,,
Lodi,70158402,,,,,,
Secugnano,70268602,,,,,,
Casalpusterlengo,70093702,,,,,,
Codogno,70113402,,,,,,
PM Piacenza Ovest,70911902,,,,,,
Piacenza,70211102,,,,,,
Pontenure,70223202,,,,,,
Cadeo,,,,,,,
Fiorenzuola,70132402,,,,,,
Fidenza,70131702,,,,,,
Castelguelfo,70098802,,,,,,
Parma,70203502,,,,,,
S. Ilario,70252602,,,,,,
Reggio Emilia,70233102,,,,,,
Rubiera,70244802,,,,,,
Marzaglia,71060401,,,,,,
PM Freto,71060401,,,,,,
Modena,70174702,,,,,,
Castelfranco Emilia,70098502,,,,,,
Samoggia,,,,,,,
Anzola,,,,,,,
PM Lavino,70154402,,,,,,
Pm S. Viola,70666602,,,,,,
Bologna C.le,70068302,,,,,,
,,,,,,,
Bologna S. vitale,,,,,,,
Bivio Crociali,70066102,,,,,,
Bologna Mazzini,,,,,,,
Bologna S. Ruffillo,70067902,,,,,,
Rastignano,,,,,,,
Musian P. di M.,,,,,,,
Pianoro,70212502,,,,,,
Monzuno-Vittuone,70184402,,,,,,
Grizzana,70146502,,,,,,
S. Benedetto S.,70247002,,,,,,
PC Precedenze,70207102,,,,,,
Vernio M. C.,70302102,,,,,,
Vaiano,70296602,,,,,,
Prato,70227902,,,,,,
Sesto Fiorentino,,,,,,,
Calenzano,,,,,,,
Pratignone,,,,,,,
Il Neto,,,,,,,
Zambra,,,,,,,
,,,,,,,
Compiobbi,70115902,,,,,,
Sieci,,,,,,,
Pontassieve,70220502,,,,,,
S. Ellero,,,,,,,
Rignano sull’Arno,70235402,,,,,,
Incisa,70148802,,,,,,
Figline,70131902,,,,,,
S. Giovanni Valdarno,70251702,,,,,,
Montevarchi,70182802,,,,,,
2° Bivio Valdarno Sud,70036302,,,,,,
Bucine,,,,,,,
Laterina,70153702,,,,,,
Ponticino,70223402,,,,,,
2° Bivio Arezzo Nord,70035802,,,,,,
Arezzo,70045802,,,,,,
PM Olmo,70217702,,,,,,
2° Bivio Arezzo Sud,70035902,,,,,,
PM Rigutino,70235702,,,,,,
Castiglion Fiorentino,70102102,,,,,,
Camucia Cortona,70084402,,,,,,
Terentola,70283702,,,,,,
Castiglion del Lago,,,,,,,
PM Panicale,70202902,,,,,,
Chiusi C.T.,70110402,,,,,,
PM Città della Pieve,70111602,,,,,,
Fabro Ficulle,70128402,,,,,,
Allerona C.V.,70041502,,,,,,
2° Bivio Orvieto Nord,70036102,,,,,,
Orvieto,70196102,,,,,,
2° Bivio Orvieto Sud,70036202,,,,,,
PC Castiglione Teverino,,,,,,,
Alviano,,,,,,,
Attigliano,70047602,,,,,,
2° Bivio Orte Nord,,,,,,,
Orte,70195902,70195918,,,,,
Gallese in Tevere,,,,,,,
Civita Castellana,,,,,,,
Collevecchio,,,,,,,
Stimigliano,,,,,,,
Gavignano,,,,,,,
Poggio Mirteto,,,,,,,
Fara Sabina,,,,,,,
Pianabella,,,,,,,
Monterotondo,,,,,,,
Settebagni,,,,,,,
Fidene,,,,,,,
PM Nord Roma Smistamento,70123302,,,,,,
Nuovo Salario,,,,,,,
PC/Bivio Nuovo Salario,70192402,,,,,,
PM Salario Roma Smistamento,70123402,,,,,,
Roma Momentana LL,,,,,,,
,,,,,,,
Roma Casilina,70237602,,,,,,
Roma Tuscolana bin. est,70238802,,,,,,
Capannelle,,,,,,,
Ciampino,70110602,,,,,,
Tor Vergata,,,,,,,
Colle Mattia,70114202,,,,,,
Colonna Galleria,,,,,,,
Zagarolo,70312902,,,,,,
Labico,,,,,,,
Valmantone,,,,,,,
Colleferro,70114502,,,,,,
Anagni-Fiuggi,70042802,,,,,,
Sgurgola,,,,,,,
Ferentino,,,,,,,
Frosinone,70137702,,,,,,
Ceccano,70104902,,,,,,
Castro-Pofi-V,,,,,,,
Ceprano,70105802,,,,,,
Isoletta,,,,,,,
Roccasecca,70240502,,,,,,
Piedimonte,70213902,,,,,,
Cassino,70095502,,,,,,
Fontanarossa,,,,,,,
Bivio Cassino Sud,70351102,,,,,,
Rocca D’Evandro,70239402,,,,,,
Mignano di M.,,,,,,,
Tora Presenzano,70287402,,,,,,
Vairano C.,70296702,,,,,,
Riardo P.,,,,,,,
Teano,70282202,,,,,,
Sparanise,70276802,,,,,,
Pignataro,70214202,,,,,,
S. Maria C.V.,70253802,,,,,,
Caserta,70094502,,,,,,
Maddaloni Inf.,,,,,,,
Bivio Maddaloni,70066202,,,,,,
Cancello,70084802,,,,,,
Acerra,70037002,,,,,,
Casalnuovo,70093502,,,,,,
D.B. Cassino,70051502,,,,,,
,,,,,,,
Torricola,70289302,,,,,,
Pomezia,70220202,,,,,,
Campoleone,70083502,,,,,,
